epoch,train_loss,val_loss,val_top1,val_top5,val_f1,lr
1,3.450848002904535,2.0722881050109865,0.7120000123977661,0.9359999895095825,0.6896576881408691,6.00000024e-05
2,1.9616776887154035,1.3261143112182616,0.8920000195503235,0.9879999756813049,0.8905454277992249,0.0001200000018
3,1.486005120980008,1.2377774868011475,0.8919999599456787,0.9919999837875366,0.8905559182167053,0.00018000000120000002
4,1.3513477054647405,1.188608808517456,0.9160000085830688,0.9919999837875366,0.915726900100708,0.00024000000060000004
5,1.2941153850676996,1.1916017189025878,0.9139999747276306,0.9919999837875366,0.9138139486312866,0.0003
6,1.2190596006265069,1.1660700922012328,0.9320000410079956,0.9959999918937683,0.9325172901153564,0.0002996346075389736
7,1.1530823397275922,1.1251624546051024,0.9359999895095825,0.9979999661445618,0.9378275871276855,0.0002985402103112355
8,1.1092968004731654,1.1432317199707032,0.9220000505447388,0.9919999837875366,0.9219452142715454,0.0002967221401100708
9,1.0804338633324957,1.1186534938812256,0.9300000071525574,0.9979999661445618,0.9291418790817261,0.00029418925439074776
10,1.058105850163179,1.0883734169006347,0.940000057220459,0.9940000176429749,0.9393232464790344,0.0002909538931178862
11,1.0418629704969347,1.1120233745574952,0.937999963760376,0.9900000095367432,0.9384642839431763,0.0002870318186463901
12,1.0299471572567227,1.1055163068771363,0.9419999718666077,0.9980000257492065,0.9423484802246094,0.000282442138928839
13,1.0002652422773213,1.1139793434143066,0.9319999814033508,0.9959999918937683,0.9319863319396973,0.0002772072144234638
14,0.9879929100481085,1.0400279903411864,0.9579999446868896,1.0,0.9578332901000977,0.00027135254915624206
15,0.984337097401086,1.0763812456130981,0.9479999542236328,0.9940000176429749,0.9469141364097595,0.0002649066664678466
16,0.9702681859664171,1.041014464378357,0.9459999799728394,0.9959999918937683,0.9459658265113831,0.0002579009700507976
17,0.955407634744155,1.023828649520874,0.9639999866485596,0.9959999918937683,0.9637424349784851,0.00025036959095382864
18,0.9412656096333465,1.0172565813064576,0.9539999961853027,0.9979999661445618,0.9540505409240723,0.00024234922129884865
19,0.9409931262133915,1.032002137184143,0.9519999623298645,0.9959999918937683,0.9519145488739014,0.00023387893552061193
20,0.9259685121726254,1.0213394093513488,0.9519999623298645,0.9979999661445618,0.9520155191421509,0.0002249999999999999
21,0.9146442302532236,1.0500149593353272,0.9479999542236328,0.9959999918937683,0.9473354816436768,0.00021575567201836154
22,0.9103592201965767,1.0002033720016479,0.9579999446868896,0.9979999661445618,0.957752525806427,0.00020619098901238672
23,0.9012752589718581,1.005923135280609,0.9579999446868896,0.9959999918937683,0.9583636522293091,0.00019635254915624205
24,0.8945737779228828,1.0112166948318482,0.949999988079071,0.9959999918937683,0.9485576748847961,0.0001862882843399501
25,0.888792109266785,1.0076275415420533,0.9559999704360962,0.9979999661445618,0.9556211829185486,0.0001760472266500395
26,0.8837345320429888,0.9779305467605591,0.9639999866485596,1.0,0.9633485078811646,0.00016567926949014795
27,0.8808646719850844,0.9954300379753113,0.9639999866485596,0.9959999918937683,0.9635707139968872,0.0001552349245053751
28,0.8706565424556941,0.9692810645103455,0.9699999690055847,0.9979999661445618,0.9701919555664062,0.00014476507549462483
